name,,name,date,website,size,year,,,,
Internxt,,Internxt,9/28/17,https://internxt.io/,0.16,17,N/A,eBoost (EBST),,OnPlace
Solomon Exchange,,SolomonExchange,9/27/17,https://solomonex.info/,0.16,17,N/A,iSunMediaCoin,,Viberate
Hackspace Capital,,HackspaceCapital,9/20/17,https://hackspace.capital/,4.8,17,N/A,eBoost (EBST),,Aventus
Impak Finance,,ImpakFinance,9/20/17,https://mpk.impak.eco/en/,1.05,17,N/A,eBoost (EBST),,stuffgogo
Modum,,Modum,9/22/17,https://modum.io/,13.5,17,N/A,iSunMediaCoin,,Filecoin
DetectorToken,,DetectorToken,9/20/17,https://detectortoken.com/,0.29,17,N/A,Apptrade (APPX),,FUJINTO
SilentNotary,,SilentNotary,9/18/17,https://silentnotary.com/,0.12,17,N/A,iSunMediaCoin,,Indorse
Intelligent Trading Tech,,IntelligentTradingTech,9/17/17,http://intelligenttrading.org/,3.12,17,N/A,eBoost (EBST),,COSS
Kyber Network,,KyberNetwork,9/16/17,https://kyber.network/,53.01,17,N/A,iSunMediaCoin,,xplay
KICKICO,,KICKICO,9/16/17,https://www.kickico.com/zh/,17.12,17,N/A,iSunMediaCoin,,BetKing
ATB Coin,,ATBCoin,9/15/17,https://atbcoin.com/,16.55,17,N/A,Agrello (DLT),,Modum
Smart Investment Fund Token,,SmartInvestmentFundToken,9/15/17,https://smartift.com/,1.75,17,N/A,,,KICKICO
Trackr,,Trackr,9/15/17,https://www.trackr.im/,0.29,17,,,,SolomonExchange
Propy,,Propy,9/15/17,https://tokensale.propy.com/,12.52,17,,,,Ahoolee
FaceCoin,,FaceCoin,9/15/17,http://facecoin.tech/,0.84,17,,,,Silentnotary
ICObox,,ICObox,9/15/17,https://icos.icobox.io/,12.05,17,,,,Revain
Social,SCL),Social,9/14/17,https://ico.nexus.social/,5.22,17,,,,DetectorToken
BitDice,,BitDice,9/14/17,https://ico.bitdice.me/zh/,8.72,17,,,,trackr
Aventus,,Aventus,9/12/17,https://aventus.io/,17.31,17,,,,FaceCoin
Enigma Catalyst,,EnigmaCatalyst,9/12/17,https://easymine.io/,45,17,,,,Substratum
Ahoolee,,Ahoolee,9/11/17,http://ahoolee.io/,0.14,17,,,,AlpenCoin
StuffGoGo,,StuffGoGo,9/11/17,https://stuffgogo.com/,0.24,17,,,,InsureX
Prospector,,Prospector,9/10/17,https://prospectors.io/en,0.6,17,,,,Suretly
Rivetz,,Rivetz,9/10/17,https://rivetzintl.com/,13.63,17,,,,Blocktix
OneGram,,OneGram,9/10/17,https://onegram.org/,1.51,17,,,,MonsterByte
Filecoin,,Filecoin,9/10/17,http://filecoin.io/,262,17,,,,SmartInvestmentFundToken
fujinto,,fujinto,9/10/17,https://fujinto.io/,2.01,17,,,,Mothership
Alpen Coin,,AlpenCoin,9/10/17,https://www.alpencoin.com/,2.43,17,,,,Tierion
Hubii,,Hubii,9/7/17,https://www.hubii.network/,6.68,17,,,,Propy
Revain,,Revain,9/6/17,https://revain.org/,0.7,17,,,,Paquarium
Substratum,,Substratum,9/6/17,https://substratum.net,12.21,17,,,,Opus
WorldWide Anonymous Messaging,,WorldWideAnonymousMessaging,9/6/17,http://wwam.io/,0.17,17,,,,Santiment
COSS,,COSS,9/6/17,https://coss.io/,2.36,17,,,,Starta
Indorse,,Indorse,9/6/17,https://indorse.io/,7.98,17,,,,CoinDash
Viberate,,Viberate,9/5/17,https://www.viberate.io/,10.71,17,,,,ATBcoin
FinShi Capital,,FinShiCapital,8/31/17,http://finshi.capital/,9.64,17,,,,Agrello
Moeda,,Moeda,8/31/17,https://moeda.in/,0.58,17,,,,Pillar
ATB Coin,,ATBCoin,8/31/17,https://atbcoin.com/,17.6,17,,,,Dent
XPlay,,XPlay,8/30/17,http://xplay.fund,10.91,17,,,,Cofound.it
DMarket,,DMarket,8/21/17,https://dmarket.io/,11.97,17,,,,Dimcoin
Corion,,Corion,8/27/17,https://www.corion.io/,1.88,17,,,,Tezos
DimCoin,,DimCoin,8/27/17,https://www.dimcoin.io/,4.7,17,,,,Suncontract
Opus,,Opus,8/24/17,http://opus-foundation.org/,1.38,17,,,,TrueFlip
Paquarium,,Paquarium,8/24/17,https://ico.paquarium.com/#executiveteam,0.62,17,,,,OmiseGo
Agrello,,Agrello,8/17/17,https://www.agrello.org/,26.14,17,,,,Primalbase
Tierion,,Tierion,8/10/17,https://tokensale.tierion.com/,25.04,17,,,,openANX
Blocktix,,Blocktix,8/7/17,https://www.blocktix.io/,6.98,17,,,,Civic
MonsterByte,,MonsterByte,8/4/17,https://www.monsterbyte.io/ico,0.97,17,,,,Skincoin
CoinDash,,CoinDash,8/4/17,https://santiment.net/,0.14,17,,,,Status
district0x Network,,district0xNetwork,8/1/17,https://district0x.io/,13.19,17,,,,SONM
SunContract,,SunContract,8/1/17,https://suncontract.org/,2.41,17,,,,Orocrypt
FundYourselfNow,,FundYourselfNow,7/31/17,https://www.fundyourselfnow.com/#,0.74,17,,,,ZrCoin
Giga Watt,,GigaWatt,7/31/17,https://cryptonomos.com/wtt/,18.68,17,,,,Boscoin
Blocktix,,Blocktix,7/28/17,https://blocktix.io/,6.89,17,,,,VOISE
RootProject,,RootProject,7/28/17,https://www.rootproject.co/,3.5,17,,,,GigaWatt
TrueFlip,,TrueFlip,7/28/17,https://ico.trueflip.io/,4.04,17,,,,Embermine
GeoFounders,,GeoFounders,7/26/17,http://www.geofounders.com/ico/,0.23,17,,,,BasicAttentionToken
Primalbase,,Primalbase,7/26/17,http://primalbase.com/,6.82,17,,,,Polybius
Dent,,Dent,7/26/17,https://www.dentcoin.com/,4.1,17,,,,Aeternity
Eros,,Eros,7/23/17,https://eros.vision/,4.86,17,,,,MaskNetwork
SkinCoin,,SkinCoin,7/21/17,https://skincoin.org/,3.32,17,,,,Storj
Gilgam,,Gilgam,7/20/17,https://ico.gilgam.es/ico,0.22,17,,,,Monaco
Gilgam.es,,Gilgam.es,7/20/17,https://ico.gilgam.es/,0.21,17,,,,Humaniq
Pillar,,Pillar,7/17/17,https://pillarproject.io/,18.53,17,,,,Cosmos
CoinDash,,CoinDash,7/17/17,https://coindash.io/,0,17,,,,TokenCard
Sumerchain,,Sumerchain,7/17/17,https://sumerchain.com/,0,17,,,,Adel
Mothership,,Mothership,7/16/17,https://mothership.cx/,4.69,17,,,,BacktoEarth
Bitquence,,Bitquence,7/16/17,https://www.bitquence.com/,1.23,17,,,,Exscudo
PressOne,,PressOne,7/15/17,https://ico.info/projects/1,82,17,,,,MobileGo
SONM,,SONM,7/15/17,https://sonm.io/,42,17,,,,EncryptoTel
Orocrypt,,Orocrypt,7/14/17,https://orocrypt.com/#,0.14,17,,,,Gnosis
