title,slug,ticker,platform,origin,token_price_in_usd,total_raised_in_usd,whitelist_required,alexa_global_rank,twitter_participants,telegram_members,rating
0x,0x,ZRX,Ethereum,Americas,0.048,24000000,TRUE,94140,114978,5329,4.3
1World,1world,1WO,Ethereum,Americas,1.2,11000000,TRUE,368823,7672,7485,4.3
Adbank,adbank,ADB,Ethereum,Americas,0.0465,14000000,TRUE,585009,4461,5232,4.4
Adelphoi,adelphoi,ADL,Other,Europe,0.03,1094622,FALSE,2782070,4391,326,4.4
AdHive,adhive,ADH,Ethereum,Europe,0.17,17500000,TRUE,135267,3783,17191,4.3
Aditus,aditus,ADI,Ethereum,Asia,0.015778209,7100194,FALSE,969470,12200,14410,3.3
adToken,adtoken,ADT,Ethereum,Europe,0.02,10000000,FALSE,778643,6514,0,2.2
aeternity,aeternity,AE,Ethereum,Europe,0.109987552,24990653,FALSE,214696,592,9700,3.9
Agrello,agrello,DLT,Ethereum,Europe,0.43,30100000,TRUE,393414,14598,4712,4.1
Aphelion,aphelion,APH,NEO,Europe,0.2,6700000,TRUE,610901,13900,13983,4.1
ArcBlock,arcblock,ABT,Ethereum,Americas,0.5,45000000,TRUE,70413,31025,40086,4.8
Augur,augur,REP,Ethereum,Americas,0.481818182,5300000,TRUE,175874,8490,1677,4.4
B2BX,b2bx,B2B,Ethereum,Asia,0.74,9544348,FALSE,781158,3924,1925,3.7
BANCOR Network,bancor-network,BNT,Ethereum,Europe,3.86,153000000,FALSE,68621,773,5987,4.6
Beluga Pay,beluga-pay,BBI,Ethereum,Americas,0.065,6500000,TRUE,294334,2952,12263,4.1
Bibox,bibox,BIX,Ethereum,Americas,0.17,4434555,FALSE,27761,9172,20331,3.5
BitRent,bitrent,RNTB,Ethereum,Europe,0.020910951,14627210,FALSE,734440,4546,9729,4.1
BlitzPredict,blitzpredict,XBP,Ethereum,Americas,0.0292,5000000,TRUE,571286,19887,467,4.4
BlockCAT,blockcat,CAT,Ethereum,Americas,0.88,7034927,TRUE,871741,7901,904,4.3
Blockpay,blockpay,BLOCKPAY,Other,Europe,8.4375,675000,FALSE,19704398,51,526,1.9
Bloom,bloom,BLT,Ethereum,Americas,1.16,43767115,FALSE,418821,419,14307,3.1
Bluzelle,bluzelle,BLZ,Ethereum,Asia,0.12,19500000,FALSE,164661,31064,23755,3.7
BnkToTheFuture,bnktothefuture,BFT,Ethereum,Europe,0.1,33000000,TRUE,90446,14154,2727,4.3
Bottos,bottos,BTO,Ethereum,Asia,0.11,34100000,TRUE,594540,5288,3511,3.3
bounty0x,bounty0x,BNTY,Ethereum,Europe,0.0165,1500000,FALSE,166372,13817,5990,2.4
Cappasity,cappasity,CAPP,Ethereum,Asia,0.01,5100000,TRUE,1167505,8726,62580,4.6
carVertical,carvertical,cV,Ethereum,Europe,0.0055,19941250,TRUE,246001,13060,13646,5
CFun,cfun,CFUN,Other,Asia,0.03,15000000,FALSE,2311003,5747,43999,3.7
ClearCoin,clearcoin,CLR,Ethereum,Americas,0.01,4350000,FALSE,177826,11266,27268,5
ClearPoll,clearpoll,POLL,Ethereum,Asia,0.13,870000,FALSE,717169,6839,825,3.3
CoinDash,coindash,CDT,Ethereum,Asia,0.00754338,7543380,FALSE,375694,462,2466,4.1
CoinFi,coinfi,COFI,Ethereum,Asia,0.15,15000000,TRUE,272546,4892,20364,4.6
Coinlancer,coinlancer,CL,Ethereum,Asia,0.25,11860153,TRUE,661261,3459,7430,4.8
CoinStarter,coinstarter,STAC,Ethereum,Europe,0.2,8515463,FALSE,93575,4861,7080,4.4
COMSA,comsa,CMS,Other,Asia,1,95372124,FALSE,276440,8778,4172,3.3
Corion Platform,corion-platform,COR,Ethereum,Europe,1,3123000,FALSE,2146028,1720,679,4.3
COSS,coss,COSS,Ethereum,Asia,0.56,3168713,FALSE,37218,17783,4738,3.5
Covesting,covesting,COV,Ethereum,Europe,1.44,18800000,FALSE,226125,10207,9031,4.3
Cybermiles,cybermiles,CMT,Ethereum,Americas,0.0524,32030393,FALSE,81322,218631,86944,3.5
DADI,dadi,DADI,Ethereum,Europe,0.5,29000000,TRUE,155203,24053,413,5
Darcrus,darcrus,MER,Other,Europe,0.00594852,297426,FALSE,764012,9486,1477,2.8
Datum,datum,DAT,Ethereum,Europe,0.004705882,7200000,FALSE,264575,36996,8382,4.1
Debitum Network,debitum-network,DEB,Ethereum,Europe,0.26,17200000,TRUE,102132,8202,14803,5
Dether,dether,DTH,Ethereum,Europe,0.23,13440000,FALSE,281296,8007,7212,4.6
district0x,district0x,DNT,Ethereum,Americas,0.0152,9789541,FALSE,242004,57700,5329,4.4
dock.io,dockio,DOCK,Ethereum,Americas,0.0833,20000000,TRUE,21631,44377,65493,4.1
