title,slug,url,ico_type,category,rating,pre_ico_start,pre_ico_end,ico_start,ico_end
Vice Industry Token,vice-industry-token,https://www.trackico.io/ico/vice-industry-token/,Trading,Games & Entertainment,3.3,null,null,2018-02-20T00:00:00Z,null
DATx,datx,https://www.trackico.io/ico/datx/,Trading,Platform,0,null,null,null,null
Sentinel Chain,sentinel-chain,https://www.trackico.io/ico/sentinel-chain/,Trading,Finance,4.4,null,null,2018-03-06T00:01:00Z,2018-03-08T23:59:00Z
IP Exchange,ip-exchange,https://www.trackico.io/ico/ip-exchange/,Trading,Platform,4.6,null,null,2018-02-28T15:00:00Z,2018-03-05T00:00:00Z
EFFECT.AI,effectai,https://www.trackico.io/ico/effectai/,Trading,Platform,4.6,null,null,2018-03-24T10:00:00Z,2018-03-28T10:00:00Z
Friendz,friendz,https://www.trackico.io/ico/friendz/,Trading,Business,4.6,null,null,2018-03-01T11:00:00Z,2018-03-21T00:00:00Z
LeadCoin,leadcoin,https://www.trackico.io/ico/leadcoin/,Trading,Platform,4.1,null,null,2018-03-01T01:00:00Z,2018-03-01T02:40:00Z
Helbiz,helbiz,https://www.trackico.io/ico/helbiz/,Trading,Business,4.4,null,null,2018-01-26T12:00:00Z,2018-03-04T12:00:00Z
JET8,jet8,https://www.trackico.io/ico/jet8/,Trading,Social Media,4.8,2018-01-01T00:00:00Z,2018-02-11T23:59:59Z,2018-02-28T06:00:00Z,2018-03-06T13:00:00Z
dock.io,dockio,https://www.trackico.io/ico/dockio/,Trading,Platform,4.1,null,null,2018-02-08T00:00:00Z,2018-02-21T00:00:00Z
Zeepin,zeepin,https://www.trackico.io/ico/zeepin/,Trading,Platform,4.4,null,null,2018-01-18T13:00:00Z,2018-01-29T12:59:00Z
Tokenomy,tokenomy,https://www.trackico.io/ico/tokenomy/,Trading,Platform,4.6,2018-01-08T00:00:00Z,2018-01-15T00:00:00Z,2018-01-15T00:00:00Z,2018-02-12T00:00:00Z
Gems,gems,https://www.trackico.io/ico/gems/,Trading,Business,3.7,null,null,null,null
Rchain,rchain,https://www.trackico.io/ico/rchain/,Trading,Cryptocurrency,3.9,null,null,null,null
Zilliqa,zilliqa,https://www.trackico.io/ico/zilliqa/,Trading,Platform,3.9,null,null,null,null
CargoX,cargox,https://www.trackico.io/ico/cargox/,Trading,Business,4.6,null,null,2018-01-23T14:00:00Z,2018-01-23T14:07:40Z
Particl,particl,https://www.trackico.io/ico/particl/,Trading,Other,4.3,null,null,2017-03-17T00:00:00Z,2017-04-13T23:00:00Z
Fusion,fusion,https://www.trackico.io/ico/fusion/,Trading,Platform,3.9,null,null,null,null
Datawallet,datawallet,https://www.trackico.io/ico/datawallet/,Trading,Business,4.3,2018-01-22T00:00:00Z,2018-02-05T00:00:00Z,2018-02-05T00:00:00Z,2018-02-07T00:00:00Z
Electrify.Asia,electrifyasia,https://www.trackico.io/ico/electrifyasia/,Trading,Platform,4.3,2018-01-15T00:00:00Z,2018-02-15T23:59:59Z,2018-02-23T00:00:00Z,2018-03-01T23:59:59Z
Restart Energy,restart-energy,https://www.trackico.io/ico/restart-energy/,Trading,Cryptocurrency,5,2018-01-15T00:00:00Z,2018-01-28T00:00:00Z,null,null
TomoCoin,tomocoin,https://www.trackico.io/ico/tomocoin/,Trading,Cryptocurrency,4.8,null,null,2018-03-01T00:00:00Z,2018-03-05T00:00:00Z
BnkToTheFuture,bnktothefuture,https://www.trackico.io/ico/bnktothefuture/,Trading,Platform,4.3,null,null,2018-02-06T00:00:00Z,2018-02-16T23:00:00Z
aXpire,axpire,https://www.trackico.io/ico/axpire/,Trading,Business,4.1,null,null,2018-01-08T00:00:00Z,2018-01-10T23:59:59Z
Cappasity,cappasity,https://www.trackico.io/ico/cappasity/,Trading,Platform,4.6,2018-02-22T13:00:00Z,2018-03-22T13:00:00Z,null,null
Legolas Exchange,legolas-exchange,https://www.trackico.io/ico/legolas-exchange/,Trading,Trading,4.4,2017-09-29T00:00:00Z,2018-01-30T00:00:00Z,2018-02-01T00:00:00Z,2018-02-15T00:00:00Z
ODEM,odem,https://www.trackico.io/ico/odem/,Trading,Platform,4.6,null,null,2018-02-17T08:00:00Z,2018-03-18T08:00:00Z
ArcBlock,arcblock,https://www.trackico.io/ico/arcblock/,Trading,Platform,4.8,null,null,2018-02-03T23:00:00Z,2018-02-04T00:00:00Z
Blockport,blockport,https://www.trackico.io/ico/blockport/,Trading,Other,2.6,2018-01-03T14:00:00Z,2018-01-17T14:00:00Z,2018-02-01T14:00:00Z,2018-02-28T14:00:00Z
Elastos,elastos,https://www.trackico.io/ico/elastos/,Trading,Internet,4.4,null,null,2018-01-01T00:00:00Z,2018-01-31T00:00:00Z
EZPOS,ezpos,https://www.trackico.io/ico/ezpos/,Trading,Business,4.6,2017-12-07T00:00:00Z,2017-12-31T00:00:00Z,2018-01-08T00:00:00Z,2018-02-04T00:00:00Z
TE-FOOD,te-food,https://www.trackico.io/ico/te-food/,Trading,Other,4.6,null,null,2018-02-22T00:00:00Z,2018-03-22T00:00:00Z
TheKEY,thekey,https://www.trackico.io/ico/thekey/,Trading,Other,4.8,2017-11-01T00:00:00Z,2018-01-15T01:00:00Z,2018-02-01T00:00:00Z,2018-02-28T00:00:00Z
AdHive,adhive,https://www.trackico.io/ico/adhive/,Trading,Platform,4.3,2018-01-31T15:00:00Z,2018-02-06T12:00:00Z,2018-02-07T00:00:00Z,2018-03-07T00:00:00Z
Havven,havven,https://www.trackico.io/ico/havven/,Trading,Cryptocurrency,5,null,null,2018-02-28T20:00:00Z,2018-02-28T21:45:00Z
Ethorse,ethorse,https://www.trackico.io/ico/ethorse/,Trading,Games & Entertainment,3.9,null,null,2018-01-10T00:00:00Z,2018-02-20T00:00:00Z
PolySwarm,polyswarm,https://www.trackico.io/ico/polyswarm/,Trading,Platform,4.8,null,null,2018-02-20T19:00:00Z,2018-03-22T19:00:00Z
TravelFlex,travelflex,https://www.trackico.io/ico/travelflex/,Trading,Other,3.9,null,null,2017-12-14T00:00:00Z,2018-01-12T23:00:00Z
CFun,cfun,https://www.trackico.io/ico/cfun/,Trading,Platform,3.7,null,null,2017-12-18T00:00:00Z,2018-01-31T00:00:00Z
Qlink,qlink,https://www.trackico.io/ico/qlink/,Trading,Other,4.4,2017-11-28T00:00:00Z,2017-12-07T00:00:00Z,null,null
BlitzPredict,blitzpredict,https://www.trackico.io/ico/blitzpredict/,Trading,Platform,4.4,2018-01-22T00:00:00Z,2018-02-05T00:00:00Z,2018-02-05T00:00:00Z,null
Bottos,bottos,https://www.trackico.io/ico/bottos/,Trading,Platform,3.3,null,null,null,null
ForceNet,forcenet,https://www.trackico.io/ico/forcenet/,Trading,Internet,2.2,null,null,null,null
LendConnect,lendconnect,https://www.trackico.io/ico/lendconnect/,Trading,Platform,3.3,null,null,2017-11-27T00:00:00Z,2017-12-12T00:00:00Z
CRYCASH,crycash,https://www.trackico.io/ico/crycash/,Trading,Cryptocurrency,4.6,null,null,2017-12-12T19:00:00Z,2018-02-01T18:59:00Z
Open Trading Network,open-trading-network,https://www.trackico.io/ico/open-trading-network/,Trading,Trading,3.7,null,null,null,null
Aditus,aditus,https://www.trackico.io/ico/aditus/,Trading,Platform,3.3,null,null,2017-11-30T00:00:00Z,2017-12-20T00:00:00Z
ClearCoin,clearcoin,https://www.trackico.io/ico/clearcoin/,Trading,Platform,5,null,null,2017-11-18T00:00:00Z,2018-03-31T00:00:00Z
Lympo,lympo,https://www.trackico.io/ico/lympo/,Trading,Fitness,5,2018-01-23T12:00:00Z,2018-01-30T00:00:00Z,2018-02-17T11:00:00Z,2018-02-28T13:00:00Z
SureRemit,sureremit,https://www.trackico.io/ico/sureremit/,Trading,Platform,3.1,null,null,2017-12-08T00:00:00Z,2018-01-05T00:00:00Z
carVertical,carvertical,https://www.trackico.io/ico/carvertical/,Trading,Platform,5,null,null,2017-12-26T00:00:00Z,2018-01-16T00:00:00Z
InsurePal,insurepal,https://www.trackico.io/ico/insurepal/,Trading,Platform,4.4,null,null,2018-01-16T00:00:00Z,2018-02-05T00:00:00Z
Budbo,budbo,https://www.trackico.io/ico/budbo/,Trading,Cryptocurrency,4.4,2017-11-27T00:00:00Z,2018-01-14T00:00:00Z,2018-01-15T00:00:00Z,2018-03-05T00:00:00Z
Origami Network,origami-network,https://www.trackico.io/ico/origami-network/,Trading,Platform,3.9,2018-02-13T00:00:00Z,2018-02-20T00:00:00Z,2018-02-23T00:00:00Z,2018-03-23T00:00:00Z
Mercury Protocol,mercury-protocol,https://www.trackico.io/ico/mercury-protocol/,Trading,Software,2.8,null,null,null,null
OneRoot,oneroot,https://www.trackico.io/ico/oneroot/,Trading,Platform,2.8,null,null,2017-12-05T00:00:00Z,2018-01-04T00:00:00Z
Steneum Coin,steneum-coin,https://www.trackico.io/ico/steneum-coin/,Trading,Cryptocurrency,3,null,null,2017-12-01T12:00:00Z,2018-01-01T00:00:00Z
Farst Network,farst-network,https://www.trackico.io/ico/farst-network/,Trading,Platform,2.4,null,null,null,null
Lendroid,lendroid,https://www.trackico.io/ico/lendroid/,Trading,Other,4.3,null,null,2018-02-19T00:00:00Z,2018-02-26T00:00:00Z
Linkeye,linkeye,https://www.trackico.io/ico/linkeye/,Trading,Finance,3.9,null,null,2017-11-10T12:00:00Z,2018-01-31T12:00:00Z
Devery,devery,https://www.trackico.io/ico/devery/,Trading,Trading,3.9,null,null,null,null
SETHER,sether,https://www.trackico.io/ico/sether/,Trading,Platform,4.8,null,null,2017-12-04T00:00:00Z,2018-01-14T00:00:00Z
Theta Network,theta-network,https://www.trackico.io/ico/theta-network/,Trading,Cryptocurrency,3.3,null,null,2018-01-08T00:00:00Z,2018-02-08T00:00:00Z
GIFTO,gifto,https://www.trackico.io/ico/gifto/,Trading,Games & Entertainment,4.6,null,null,2017-12-14T00:00:00Z,2018-01-13T00:00:00Z
Bezop,bezop,https://www.trackico.io/ico/bezop/,Trading,Other,3.5,null,null,2017-12-20T00:00:00Z,2018-01-10T00:00:00Z
