title,ticker,platform,accepted_currencies,country,category,token_for_sale,token_supply,percent_available,token_price_in_usd,total_raised_in_usd,whitelist_required,rating,price_now,,ready?
Vice Industry Token,VIT,Ethereum,[u'ETH'],Canada,Games & Entertainment,"2,000,000,000","4,000,000,000",0.50,0.05,16156000,FALSE,3.3,,,ready
DATx,DATX,Ethereum,[u'ETH'],Singapore,Internet,"1,250,000,000","10,000,000,000",0.13,0.0353,44200000,TRUE,2,,,ready
Sentinel Chain,SENC,Ethereum,[u'ETH'],Singapore,Finance,"200,000,000","500,000,000",0.40,0.072,14400000,TRUE,4.4,,100,ready
IP Exchange,IPSX,Ethereum,[u'ETH'],Switzerland,Platform,"303,529,411","1,800,000,000",0.17,0.0122,7904000,TRUE,4.6,,,ready
EFFECT.AI,AIX,NEO,"[u'NEO', u'GAS']",Netherlands,Platform,"260,000,000","650,000,000",0.40,0.050949719,13246927,TRUE,4.6,,,ready
Friendz,FDZ,Ethereum,[u'ETH'],Switzerland,Business,"750,000,000","1,500,000,000",0.50,0.067,13800000,TRUE,4.6,,,ready
Helbiz,HBZ,Ethereum,[u'ETH'],Singapore,Business,"480,000,000","1,000,000,000",0.48,0.106,38646754,TRUE,4.4,,,ready
JET8,J8T,Ethereum,[u'ETH'],Singapore,Social Media,"150,000,000","500,000,000",0.30,0.0974,32700000,TRUE,4.8,3/6/2018,100,ready
dock.io,DOCK,Ethereum,[u'ETH'],United States of America,Platform,"300,000,000","1,000,000,000",0.30,0.0833,20000000,TRUE,4.1,,,ready
Zeepin,ZPT,NEO,"[u'ETH', u'BTC', u'NEO']",Singapore,Platform,,"1,000,000,000",0.50,0.13,62600000,TRUE,4.4,,100,ready
Tokenomy,TEN,Ethereum,"[u'ETH', u'BTC']",Singapore,Platform,"110,000,000","200,000,000",0.55,0.236363636,26000000,FALSE,4.6,,,ready
Rchain,RHOC,Own,[u'ETH'],United States of America,Cryptocurrency,"358,732,436","861,185,194",0.42,0.2,15000000,FALSE,3.9,,,ready
Zilliqa,ZIL,Ethereum,[u'ETH'],Singapore,Platform,,"21,000,000,000",0.30,0.0038,22000000,TRUE,3.9,,100,ready
